studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
hcc_tcga_gdc:TCGA-K7-A5RG-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-K7-A5RF-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-HP-A5N0-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-HP-A5MZ-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-GJ-A6C0-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-GJ-A3OU-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-G3-AAV7-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-AAV6-01	1	1	0	0	0	1	1	0	0	0	0
hcc_tcga_gdc:TCGA-G3-AAV5-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-AAV4-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-AAV3-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-AAV2-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-AAV1-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-AAV0-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-AAUZ-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A7M9-01	1	0	0	0	0	0	0	1	0	0	1
hcc_tcga_gdc:TCGA-G3-A7M8-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A7M6-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A7M5-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A6UC-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A5SM-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A5SL-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-G3-A5SJ-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-G3-A5SI-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A3CK-01	1	0	0	0	0	1	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A3CJ-01	1	0	0	1	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A3CI-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A3CH-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A3CG-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A25Z-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A25Y-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A25W-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A25V-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A25U-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A25T-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-G3-A25S-01	1	0	0	0	0	1	1	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A4ZQ-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A4ZP-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-FV-A496-01	1	0	0	0	0	1	1	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A495-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A3R3-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A3R2-01	1	0	0	0	1	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A3I1-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A3I0-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A2QR-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A2QQ-01	1	1	1	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-FV-A23B-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ES-A2HT-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ES-A2HS-01	1	0	0	0	1	1	1	0	1	0	1
hcc_tcga_gdc:TCGA-EP-A3RK-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-EP-A3JL-01	1	1	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-EP-A2KC-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-EP-A2KB-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-EP-A2KA-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-EP-A26S-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-EP-A12J-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A97K-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A8O6-01	1	0	0	0	0	0	0	0	1	0	0
hcc_tcga_gdc:TCGA-ED-A8O5-01	1	0	0	0	1	1	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A82E-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A7XP-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A7XO-01	0	0	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A7PZ-01	1	1	0	0	0	0	0	0	0	0	0
hcc_tcga_gdc:TCGA-ED-A7PY-01	0	0	0	0	0	0	0	0	0	0	0
