studyID:sampleId	Altered	CTNNB1	ZNRF3	APC	AXIN1	AXIN2	RNF43	RSPO1	RSPO2	RSPO3	RSPO4
ucec_tcga_gdc:TCGA-EY-A1GQ-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GP-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GO-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GM-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GL-01	1	1	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GK-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GJ-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GI-01	1	0	0	1	0	1	1	1	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GH-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GF-01	1	0	0	0	1	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GE-01	1	0	1	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GD-01	1	1	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1GC-01	1	1	0	0	1	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1G8-01	1	1	0	1	0	1	0	0	0	0	0
ucec_tcga_gdc:TCGA-EY-A1G7-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3L0-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3B1-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3B0-01	1	1	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3AZ-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-EO-A3AY-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3AV-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3AU-01	1	0	0	1	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A3AS-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A2CH-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A2CG-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A22Y-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A22X-01	1	0	1	1	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-EO-A22U-01	1	1	1	1	0	0	1	0	1	0	0
ucec_tcga_gdc:TCGA-EO-A22T-01	1	0	0	0	1	1	0	1	0	0	0
ucec_tcga_gdc:TCGA-EO-A22S-01	1	0	0	0	1	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EO-A22R-01	1	1	0	1	1	0	0	1	1	1	0
ucec_tcga_gdc:TCGA-EO-A1Y8-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-EO-A1Y7-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-EO-A1Y5-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EC-A24G-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-EC-A1QX-01	1	0	0	0	1	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-EC-A1NJ-01	1	0	0	1	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-E6-A8L9-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-E6-A2P9-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-E6-A2P8-01	1	0	0	0	0	0	1	0	0	0	0
ucec_tcga_gdc:TCGA-E6-A1M0-01	1	1	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-E6-A1LZ-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-E6-A1LX-01	1	1	0	1	1	0	0	0	1	0	1
ucec_tcga_gdc:TCGA-DI-A2QY-01	1	0	0	0	0	0	0	0	1	0	0
ucec_tcga_gdc:TCGA-DI-A2QU-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-DI-A2QT-01	0	0	0	0	0	0	0	0	0	0	0
ucec_tcga_gdc:TCGA-DI-A1NO-01	1	0	0	0	0	0	0	0	0	0	1
